 1.00000000e+00 -1.47263301e+01  1.00000000e+00 -1.36780790e-03 
 1.04712855e+00 -1.47263301e+01  1.04712855e+00 -1.43227070e-03 
 1.09647820e+00 -1.47263301e+01  1.09647820e+00 -1.49977154e-03 
 1.14815362e+00 -1.47263301e+01  1.14815362e+00 -1.57045359e-03 
 1.20226443e+00 -1.47263301e+01  1.20226443e+00 -1.64446679e-03 
 1.25892541e+00 -1.47263301e+01  1.25892541e+00 -1.72196812e-03 
 1.31825674e+00 -1.47263301e+01  1.31825674e+00 -1.80312198e-03 
 1.38038426e+00 -1.47263301e+01  1.38038426e+00 -1.88810050e-03 
 1.44543977e+00 -1.47263301e+01  1.44543977e+00 -1.97708393e-03 
 1.51356125e+00 -1.47263301e+01  1.51356125e+00 -2.07026103e-03 
 1.58489319e+00 -1.47263301e+01  1.58489319e+00 -2.16782942e-03 
 1.65958691e+00 -1.47263301e+01  1.65958691e+00 -2.26999608e-03 
 1.73780083e+00 -1.47263301e+01  1.73780083e+00 -2.37697770e-03 
 1.81970086e+00 -1.47263301e+01  1.81970086e+00 -2.48900120e-03 
 1.90546072e+00 -1.47263301e+01  1.90546072e+00 -2.60630422e-03 
 1.99526231e+00 -1.47263301e+01  1.99526231e+00 -2.72913555e-03 
 2.08929613e+00 -1.47263301e+01  2.08929613e+00 -2.85775575e-03 
 2.18776162e+00 -1.47263301e+01  2.18776162e+00 -2.99243762e-03 
 2.29086765e+00 -1.47263301e+01  2.29086765e+00 -3.13346687e-03 
 2.39883292e+00 -1.47263301e+01  2.39883292e+00 -3.28114261e-03 
 2.51188643e+00 -1.47263301e+01  2.51188643e+00 -3.43577810e-03 
 2.63026799e+00 -1.47263301e+01  2.63026799e+00 -3.59770133e-03 
 2.75422870e+00 -1.47263301e+01  2.75422870e+00 -3.76725577e-03 
 2.88403150e+00 -1.47263301e+01  2.88403150e+00 -3.94480106e-03 
 3.01995172e+00 -1.47263301e+01  3.01995172e+00 -4.13071381e-03 
 3.16227766e+00 -1.47263301e+01  3.16227766e+00 -4.32538835e-03 
 3.31131121e+00 -1.47263301e+01  3.31131121e+00 -4.52923762e-03 
 3.46736850e+00 -1.47263301e+01  3.46736850e+00 -4.74269402e-03 
 3.63078055e+00 -1.47263301e+01  3.63078055e+00 -4.96621030e-03 
 3.80189396e+00 -1.47263301e+01  3.80189396e+00 -5.20026058e-03 
 3.98107171e+00 -1.47263301e+01  3.98107171e+00 -5.44534131e-03 
 4.16869383e+00 -1.47263301e+01  4.16869383e+00 -5.70197234e-03 
 4.36515832e+00 -1.47263301e+01  4.36515832e+00 -5.97069801e-03 
 4.57088190e+00 -1.47263301e+01  4.57088190e+00 -6.25208834e-03 
 4.78630092e+00 -1.47263301e+01  4.78630092e+00 -6.54674018e-03 
 5.01187234e+00 -1.47263301e+01  5.01187234e+00 -6.85527854e-03 
 5.24807460e+00 -1.47263301e+01  5.24807460e+00 -7.17835786e-03 
 5.49540874e+00 -1.47263301e+01  5.49540874e+00 -7.51666344e-03 
 5.75439937e+00 -1.47263301e+01  5.75439937e+00 -7.87091287e-03 
 6.02559586e+00 -1.47263300e+01  6.02559586e+00 -8.24185757e-03 
 6.30957344e+00 -1.47263300e+01  6.30957344e+00 -8.63028434e-03 
 6.60693448e+00 -1.47263300e+01  6.60693448e+00 -9.03701711e-03 
 6.91830971e+00 -1.47263300e+01  6.91830971e+00 -9.46291860e-03 
 7.24435960e+00 -1.47263300e+01  7.24435960e+00 -9.90889221e-03 
 7.58577575e+00 -1.47263300e+01  7.58577575e+00 -1.03758839e-02 
 7.94328235e+00 -1.47263300e+01  7.94328235e+00 -1.08648842e-02 
 8.31763771e+00 -1.47263300e+01  8.31763771e+00 -1.13769304e-02 
 8.70963590e+00 -1.47263300e+01  8.70963590e+00 -1.19131087e-02 
 9.12010839e+00 -1.47263300e+01  9.12010839e+00 -1.24745562e-02 
 9.54992586e+00 -1.47263299e+01  9.54992586e+00 -1.30624639e-02 
 1.00000000e+01 -1.47263299e+01  1.00000000e+01 -1.36780788e-02 
 1.04712855e+01 -1.47263299e+01  1.04712855e+01 -1.43227068e-02 
 1.09647820e+01 -1.47263299e+01  1.09647820e+01 -1.49977151e-02 
 1.14815362e+01 -1.47263299e+01  1.14815362e+01 -1.57045356e-02 
 1.20226443e+01 -1.47263298e+01  1.20226443e+01 -1.64446676e-02 
 1.25892541e+01 -1.47263298e+01  1.25892541e+01 -1.72196809e-02 
 1.31825674e+01 -1.47263298e+01  1.31825674e+01 -1.80312194e-02 
 1.38038426e+01 -1.47263298e+01  1.38038426e+01 -1.88810045e-02 
 1.44543977e+01 -1.47263297e+01  1.44543977e+01 -1.97708388e-02 
 1.51356125e+01 -1.47263297e+01  1.51356125e+01 -2.07026097e-02 
 1.58489319e+01 -1.47263296e+01  1.58489319e+01 -2.16782935e-02 
 1.65958691e+01 -1.47263296e+01  1.65958691e+01 -2.26999600e-02 
 1.73780083e+01 -1.47263295e+01  1.73780083e+01 -2.37697761e-02 
 1.81970086e+01 -1.47263295e+01  1.81970086e+01 -2.48900110e-02 
 1.90546072e+01 -1.47263294e+01  1.90546072e+01 -2.60630410e-02 
 1.99526231e+01 -1.47263294e+01  1.99526231e+01 -2.72913541e-02 
 2.08929613e+01 -1.47263293e+01  2.08929613e+01 -2.85775559e-02 
 2.18776162e+01 -1.47263292e+01  2.18776162e+01 -2.99243744e-02 
 2.29086765e+01 -1.47263291e+01  2.29086765e+01 -3.13346666e-02 
 2.39883292e+01 -1.47263290e+01  2.39883292e+01 -3.28114237e-02 
 2.51188643e+01 -1.47263289e+01  2.51188643e+01 -3.43577782e-02 
 2.63026799e+01 -1.47263288e+01  2.63026799e+01 -3.59770101e-02 
 2.75422870e+01 -1.47263287e+01  2.75422870e+01 -3.76725540e-02 
 2.88403150e+01 -1.47263285e+01  2.88403150e+01 -3.94480064e-02 
 3.01995172e+01 -1.47263284e+01  3.01995172e+01 -4.13071333e-02 
 3.16227766e+01 -1.47263282e+01  3.16227766e+01 -4.32538780e-02 
 3.31131121e+01 -1.47263281e+01  3.31131121e+01 -4.52923699e-02 
 3.46736850e+01 -1.47263279e+01  3.46736850e+01 -4.74269329e-02 
 3.63078055e+01 -1.47263276e+01  3.63078055e+01 -4.96620946e-02 
 3.80189396e+01 -1.47263274e+01  3.80189396e+01 -5.20025962e-02 
 3.98107171e+01 -1.47263271e+01  3.98107171e+01 -5.44534021e-02 
 4.16869383e+01 -1.47263268e+01  4.16869383e+01 -5.70197107e-02 
 4.36515832e+01 -1.47263265e+01  4.36515832e+01 -5.97069656e-02 
 4.57088190e+01 -1.47263262e+01  4.57088190e+01 -6.25208667e-02 
 4.78630092e+01 -1.47263258e+01  4.78630092e+01 -6.54673827e-02 
 5.01187234e+01 -1.47263254e+01  5.01187234e+01 -6.85527635e-02 
 5.24807460e+01 -1.47263249e+01  5.24807460e+01 -7.17835534e-02 
