log,gain_db,gbw,pm
ac_SchGtKttmmTtVt.log,74.27435,172128800.0,61.2241
ac_SchGtKttmmTtVt_1.log,74.31136,172852900.0,61.6262
ac_SchGtKttmmTtVt_10.log,73.97047,162782700.0,62.082
ac_SchGtKttmmTtVt_11.log,76.42618,115585400.0,64.5063
ac_SchGtKttmmTtVt_12.log,76.50247,115092300.0,64.6096
ac_SchGtKttmmTtVt_13.log,74.32085,142762100.0,64.1953
ac_SchGtKttmmTtVt_14.log,74.0683,166270800.0,62.1719
ac_SchGtKttmmTtVt_15.log,74.03798,162296700.0,62.6005
ac_SchGtKttmmTtVt_16.log,74.07472,167312500.0,62.1616
ac_SchGtKttmmTtVt_17.log,72.52231,95893710.0,61.4953
ac_SchGtKttmmTtVt_18.log,74.05067,160151100.0,62.7361
ac_SchGtKttmmTtVt_19.log,73.40484,95320470.0,62.0545
ac_SchGtKttmmTtVt_2.log,76.31575,116163400.0,64.9396
ac_SchGtKttmmTtVt_20.log,74.11163,156633300.0,63.1598
ac_SchGtKttmmTtVt_21.log,77.04433,111189800.0,64.4301
ac_SchGtKttmmTtVt_22.log,74.01317,168249900.0,62.4344
ac_SchGtKttmmTtVt_23.log,72.77253,191829000.0,58.6375
ac_SchGtKttmmTtVt_24.log,74.09191,155511500.0,62.9338
ac_SchGtKttmmTtVt_25.log,74.01457,166980000.0,61.5526
ac_SchGtKttmmTtVt_26.log,71.61611,317124600.0,40.8403
ac_SchGtKttmmTtVt_27.log,76.37903,115552800.0,65.1026
ac_SchGtKttmmTtVt_28.log,73.45171,93781000.0,61.1894
ac_SchGtKttmmTtVt_29.log,76.36562,113718500.0,63.4451
ac_SchGtKttmmTtVt_3.log,74.48946,137129600.0,64.6319
ac_SchGtKttmmTtVt_4.log,73.54607,88389850.0,59.8731
ac_SchGtKttmmTtVt_5.log,74.1475,178180300.0,60.4194
ac_SchGtKttmmTtVt_6.log,74.30278,172699300.0,61.6148
ac_SchGtKttmmTtVt_7.log,74.01644,162042200.0,62.4612
ac_SchGtKttmmTtVt_8.log,73.24397,97175320.0,62.6199
ac_SchGtKttmmTtVt_9.log,74.215,173960900.0,60.9704
