Corner,VSB_V,W_um,L_um,WL_ratio,VGS_V,VDS_V,Vov_V,ID_measured_A,ID_per_W_uA_um,gm_measured_uS,gm_ID_S_A,uncox_measured_A_V2,rds_measured_Ohm,Cgs_measured_F,Cgd_measured_F,Cdb_measured_F,Csb_measured_F
ff,0.00,51.00,1.0000,51.00,0.4200,0.1000,0.0100,1.444e-03,28.312,5168.008,3.579,5.662e-01,6.929e+00,8.225e-13,2.056e-13,4.594e-12,4.594e-12
ff,0.00,51.00,1.0000,51.00,0.4200,0.1100,0.0100,7.745e-07,0.015,1.473,1.902,3.037e-04,1.386e+01,2.344e-16,5.860e-17,2.297e-12,2.297e-12
ff,0.00,51.00,1.0000,51.00,0.4200,0.1200,0.0100,7.311e-07,0.014,0.683,0.934,2.867e-04,2.661e+05,1.087e-16,2.718e-17,1.196e-16,1.196e-16
ff,0.00,51.00,1.0000,51.00,0.4200,0.1300,0.0100,6.993e-07,0.014,0.110,0.158,2.742e-04,3.654e+05,1.756e-17,4.390e-18,8.712e-17,8.712e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.1400,0.0100,6.764e-07,0.013,0.305,0.451,2.653e-04,5.036e+05,4.857e-17,1.214e-17,6.320e-17,6.320e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.1500,0.0100,6.596e-07,0.013,0.613,0.930,2.587e-04,6.835e+05,9.763e-17,2.441e-17,4.657e-17,4.657e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.1600,0.0100,6.471e-07,0.013,0.847,1.309,2.538e-04,9.149e+05,1.348e-16,3.369e-17,3.479e-17,3.479e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.1700,0.0100,6.377e-07,0.013,1.027,1.610,2.501e-04,1.210e+06,1.634e-16,4.085e-17,2.631e-17,2.631e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.1800,0.0100,6.306e-07,0.012,1.168,1.852,2.473e-04,1.581e+06,1.858e-16,4.646e-17,2.013e-17,2.013e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.1900,0.0100,6.251e-07,0.012,1.280,2.047,2.451e-04,2.043e+06,2.037e-16,5.092e-17,1.558e-17,1.558e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.2000,0.0100,6.208e-07,0.012,1.370,2.207,2.435e-04,2.606e+06,2.181e-16,5.452e-17,1.221e-17,1.221e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.2100,0.0100,6.174e-07,0.012,1.394,2.258,2.421e-04,3.276e+06,2.219e-16,5.547e-17,9.717e-18,9.717e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.2200,0.0100,6.147e-07,0.012,1.457,2.370,2.411e-04,3.420e+06,2.319e-16,5.797e-17,9.309e-18,9.309e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.2300,0.0100,6.116e-07,0.012,1.510,2.469,2.398e-04,4.046e+06,2.403e-16,6.008e-17,7.867e-18,7.867e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.2400,0.0100,6.098e-07,0.012,1.555,2.550,2.391e-04,5.948e+06,2.474e-16,6.186e-17,5.352e-18,5.352e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.2500,0.0100,6.082e-07,0.012,1.635,2.688,2.385e-04,6.871e+06,2.602e-16,6.504e-17,4.633e-18,4.633e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.2600,0.0100,6.068e-07,0.012,1.666,2.745,2.380e-04,7.698e+06,2.651e-16,6.628e-17,4.135e-18,4.135e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.2700,0.0100,6.056e-07,0.012,1.707,2.818,2.375e-04,8.356e+06,2.716e-16,6.791e-17,3.810e-18,3.810e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.2800,0.0100,6.045e-07,0.012,1.730,2.863,2.370e-04,1.008e+07,2.754e-16,6.885e-17,3.159e-18,3.159e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.2900,0.0100,6.036e-07,0.012,1.772,2.935,2.367e-04,1.325e+07,2.820e-16,7.050e-17,2.402e-18,2.402e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.3000,0.0100,6.029e-07,0.012,1.788,2.965,2.364e-04,1.088e+07,2.846e-16,7.114e-17,2.925e-18,2.925e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.3100,0.0100,6.018e-07,0.012,1.781,2.960,2.360e-04,8.562e+06,2.835e-16,7.087e-17,3.718e-18,3.718e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.3200,0.0100,6.006e-07,0.012,1.780,2.964,2.355e-04,8.331e+06,2.834e-16,7.084e-17,3.821e-18,3.821e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.3300,0.0100,5.994e-07,0.012,1.793,2.992,2.351e-04,7.979e+06,2.854e-16,7.136e-17,3.989e-18,3.989e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.3400,0.0100,5.981e-07,0.012,1.805,3.018,2.345e-04,7.625e+06,2.873e-16,7.183e-17,4.174e-18,4.174e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.3500,0.0100,5.968e-07,0.012,1.816,3.044,2.340e-04,7.286e+06,2.891e-16,7.227e-17,4.369e-18,4.369e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.3600,0.0100,5.954e-07,0.012,1.826,3.067,2.335e-04,6.910e+06,2.906e-16,7.265e-17,4.606e-18,4.606e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.3700,0.0100,5.939e-07,0.012,1.835,3.089,2.329e-04,6.548e+06,2.920e-16,7.300e-17,4.861e-18,4.861e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.3800,0.0100,5.923e-07,0.012,1.843,3.111,2.323e-04,6.205e+06,2.932e-16,7.331e-17,5.130e-18,5.130e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.3900,0.0100,5.906e-07,0.012,1.850,3.132,2.316e-04,5.884e+06,2.944e-16,7.360e-17,5.410e-18,5.410e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.4000,0.0100,5.889e-07,0.012,1.856,3.152,2.309e-04,5.588e+06,2.954e-16,7.386e-17,5.697e-18,5.697e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.4100,0.0100,5.871e-07,0.012,1.862,3.172,2.302e-04,5.315e+06,2.964e-16,7.411e-17,5.989e-18,5.989e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.4200,0.0100,5.851e-07,0.011,1.868,3.193,2.295e-04,5.065e+06,2.973e-16,7.433e-17,6.285e-18,6.285e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.4300,0.0100,5.831e-07,0.011,1.873,3.213,2.287e-04,4.835e+06,2.981e-16,7.454e-17,6.583e-18,6.583e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.4400,0.0100,5.810e-07,0.011,1.878,3.233,2.278e-04,4.626e+06,2.989e-16,7.473e-17,6.881e-18,6.881e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.4500,0.0100,5.788e-07,0.011,1.883,3.253,2.270e-04,4.434e+06,2.996e-16,7.491e-17,7.179e-18,7.179e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.4600,0.0100,5.765e-07,0.011,1.887,3.273,2.261e-04,4.258e+06,3.003e-16,7.507e-17,7.476e-18,7.476e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.4700,0.0100,5.741e-07,0.011,1.891,3.293,2.251e-04,4.097e+06,3.009e-16,7.523e-17,7.770e-18,7.770e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.4800,0.0100,5.716e-07,0.011,1.894,3.314,2.242e-04,3.949e+06,3.015e-16,7.537e-17,8.061e-18,8.061e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.4900,0.0100,5.690e-07,0.011,1.898,3.335,2.232e-04,3.813e+06,3.020e-16,7.551e-17,8.349e-18,8.349e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.5000,0.0100,5.664e-07,0.011,1.901,3.356,2.221e-04,3.687e+06,3.025e-16,7.563e-17,8.633e-18,8.633e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.5100,0.0100,5.636e-07,0.011,1.904,3.378,2.210e-04,3.571e+06,3.030e-16,7.575e-17,8.913e-18,8.913e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.5200,0.0100,5.608e-07,0.011,1.907,3.400,2.199e-04,3.464e+06,3.035e-16,7.586e-17,9.189e-18,9.189e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.5300,0.0100,5.578e-07,0.011,1.909,3.423,2.188e-04,3.365e+06,3.039e-16,7.597e-17,9.459e-18,9.459e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.5400,0.0100,5.548e-07,0.011,1.909,3.441,2.176e-04,3.273e+06,3.039e-16,7.597e-17,9.725e-18,9.725e-18
ff,0.00,51.00,1.0000,51.00,0.4200,0.5500,0.0100,5.517e-07,0.011,1.912,3.465,2.164e-04,3.165e+06,3.043e-16,7.607e-17,1.006e-17,1.006e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.5600,0.0100,5.485e-07,0.011,1.914,3.490,2.151e-04,3.088e+06,3.047e-16,7.617e-17,1.031e-17,1.031e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.5700,0.0100,5.452e-07,0.011,1.917,3.515,2.138e-04,3.038e+06,3.050e-16,7.626e-17,1.048e-17,1.048e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.5800,0.0100,5.419e-07,0.011,1.921,3.545,2.125e-04,2.968e+06,3.057e-16,7.643e-17,1.072e-17,1.072e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.5900,0.0100,5.385e-07,0.011,1.923,3.571,2.112e-04,2.903e+06,3.060e-16,7.651e-17,1.096e-17,1.096e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.6000,0.0100,5.350e-07,0.010,1.925,3.597,2.098e-04,2.843e+06,3.063e-16,7.657e-17,1.120e-17,1.120e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.6100,0.0100,5.315e-07,0.010,1.926,3.624,2.084e-04,2.786e+06,3.066e-16,7.664e-17,1.143e-17,1.143e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.6200,0.0100,5.278e-07,0.010,1.928,3.652,2.070e-04,2.735e+06,3.068e-16,7.670e-17,1.164e-17,1.164e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.6300,0.0100,5.242e-07,0.010,1.929,3.680,2.056e-04,2.685e+06,3.070e-16,7.675e-17,1.186e-17,1.186e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.6400,0.0100,5.204e-07,0.010,1.931,3.710,2.041e-04,2.635e+06,3.073e-16,7.682e-17,1.208e-17,1.208e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.6500,0.0100,5.166e-07,0.010,1.932,3.740,2.026e-04,2.591e+06,3.075e-16,7.687e-17,1.229e-17,1.229e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.6600,0.0100,5.127e-07,0.010,1.933,3.771,2.011e-04,2.549e+06,3.077e-16,7.692e-17,1.249e-17,1.249e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.6700,0.0100,5.087e-07,0.010,1.934,3.802,1.995e-04,2.510e+06,3.079e-16,7.697e-17,1.268e-17,1.268e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.6800,0.0100,5.047e-07,0.010,1.936,3.835,1.979e-04,2.473e+06,3.080e-16,7.701e-17,1.287e-17,1.287e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.6900,0.0100,5.006e-07,0.010,1.937,3.868,1.963e-04,2.438e+06,3.082e-16,7.705e-17,1.306e-17,1.306e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.7000,0.0100,4.965e-07,0.010,1.938,3.902,1.947e-04,2.405e+06,3.084e-16,7.709e-17,1.324e-17,1.324e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.7100,0.0100,4.923e-07,0.010,1.939,3.938,1.931e-04,2.374e+06,3.085e-16,7.713e-17,1.341e-17,1.341e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.7200,0.0100,4.881e-07,0.010,1.940,3.974,1.914e-04,2.344e+06,3.087e-16,7.717e-17,1.358e-17,1.358e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.7300,0.0100,4.838e-07,0.009,1.940,4.011,1.897e-04,2.316e+06,3.088e-16,7.721e-17,1.374e-17,1.374e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.7400,0.0100,4.794e-07,0.009,1.941,4.049,1.880e-04,2.290e+06,3.090e-16,7.724e-17,1.390e-17,1.390e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.7500,0.0100,4.751e-07,0.009,1.942,4.088,1.863e-04,2.265e+06,3.091e-16,7.727e-17,1.406e-17,1.406e-17
ff,0.00,51.00,1.0000,51.00,0.4200,0.7600,0.0100,4.706e-07,0.009,1.943,4.128,1.846e-04,2.241e+06,3.092e-16,7.730e-17,1.420e-17,1.420e-17
