Corner,VSB_V,W_um,L_um,WL_ratio,VGS_V,VDS_V,Vov_V,ID_measured_A,ID_per_W_uA_um,gm_measured_uS,gm_ID_S_A,uncox_measured_A_V2,rds_measured_Ohm,Cgs_measured_F,Cgd_measured_F,Cdb_measured_F,Csb_measured_F
ss,0.00,80.00,1.0000,80.00,0.4200,0.1000,0.0100,1.894e-03,23.671,7565.532,3.995,4.734e-01,5.282e+00,1.204e-12,3.010e-13,6.026e-12,6.026e-12
ss,0.00,80.00,1.0000,80.00,0.4200,0.1100,0.0100,5.118e-07,0.006,4.605,8.996,1.280e-04,1.056e+01,7.328e-16,1.832e-16,3.013e-12,3.013e-12
ss,0.00,80.00,1.0000,80.00,0.4200,0.1200,0.0100,4.515e-07,0.006,3.641,8.066,1.129e-04,1.959e+05,5.795e-16,1.449e-16,1.625e-16,1.625e-16
ss,0.00,80.00,1.0000,80.00,0.4200,0.1300,0.0100,4.097e-07,0.005,2.963,7.232,1.024e-04,2.798e+05,4.716e-16,1.179e-16,1.138e-16,1.138e-16
ss,0.00,80.00,1.0000,80.00,0.4200,0.1400,0.0100,3.800e-07,0.005,2.465,6.486,9.500e-05,3.927e+05,3.922e-16,9.806e-17,8.105e-17,8.105e-17
ss,0.00,80.00,1.0000,80.00,0.4200,0.1500,0.0100,3.588e-07,0.004,2.091,5.829,8.970e-05,5.544e+05,3.329e-16,8.322e-17,5.742e-17,5.742e-17
ss,0.00,80.00,1.0000,80.00,0.4200,0.1600,0.0100,3.439e-07,0.004,1.807,5.254,8.598e-05,7.993e+05,2.876e-16,7.190e-17,3.982e-17,3.982e-17
ss,0.00,80.00,1.0000,80.00,0.4200,0.1700,0.0100,3.338e-07,0.004,1.586,4.752,8.345e-05,3.336e+06,2.524e-16,6.311e-17,9.541e-18,9.541e-18
ss,0.00,80.00,1.0000,80.00,0.4200,0.1800,0.0100,3.379e-07,0.004,1.315,3.890,8.448e-05,4.674e+05,2.092e-16,5.231e-17,6.811e-17,6.811e-17
ss,0.00,80.00,1.0000,80.00,0.4200,0.1900,0.0100,3.766e-07,0.005,1.376,3.655,9.414e-05,3.861e+05,2.190e-16,5.476e-17,8.243e-17,8.243e-17
ss,0.00,80.00,1.0000,80.00,0.4200,0.2000,0.0100,3.897e-07,0.005,1.350,3.464,9.743e-05,6.124e+05,2.149e-16,5.372e-17,5.197e-17,5.197e-17
ss,0.00,80.00,1.0000,80.00,0.4200,0.2100,0.0100,4.092e-07,0.005,1.383,3.379,1.023e-04,4.244e+05,2.201e-16,5.503e-17,7.500e-17,7.500e-17
ss,0.00,80.00,1.0000,80.00,0.4200,0.2200,0.0100,4.368e-07,0.005,1.656,3.792,1.092e-04,3.419e+05,2.636e-16,6.591e-17,9.310e-17,9.310e-17
ss,0.00,80.00,1.0000,80.00,0.4200,0.2300,0.0100,4.677e-07,0.006,2.750,5.879,1.169e-04,3.316e+05,4.376e-16,1.094e-16,9.599e-17,9.599e-17
ss,0.00,80.00,1.0000,80.00,0.4200,0.2400,0.0100,4.971e-07,0.006,3.679,7.401,1.243e-04,2.896e+05,5.855e-16,1.464e-16,1.099e-16,1.099e-16
ss,0.00,80.00,1.0000,80.00,0.4200,0.2500,0.0100,5.368e-07,0.007,4.394,8.186,1.342e-04,2.126e+05,6.993e-16,1.748e-16,1.497e-16,1.497e-16
ss,0.00,80.00,1.0000,80.00,0.4200,0.2600,0.0100,5.912e-07,0.007,20.968,35.466,1.478e-04,4.863e+04,3.337e-15,8.343e-16,6.545e-16,6.545e-16
ss,0.00,80.00,1.0000,80.00,0.4200,0.2700,0.0100,1.255e-07,0.002,24.274,193.363,3.138e-05,4.269e+04,3.863e-15,9.658e-16,7.456e-16,7.456e-16
ss,0.00,80.00,1.0000,80.00,0.4200,0.2800,0.0100,1.227e-07,0.002,0.527,4.294,3.068e-05,3.247e+06,8.387e-17,2.097e-17,9.804e-18,9.804e-18
ss,0.00,80.00,1.0000,80.00,0.4200,0.2900,0.0100,1.194e-07,0.001,0.531,4.451,2.984e-05,3.129e+06,8.457e-17,2.114e-17,1.017e-17,1.017e-17
