Corner,VSB_V,W_um,L_um,WL_ratio,VGS_V,VDS_V,Vov_V,ID_measured_A,ID_per_W_uA_um,gm_measured_uS,gm_ID_S_A,uncox_measured_A_V2,rds_measured_Ohm,Cgs_measured_F,Cgd_measured_F,Cdb_measured_F,Csb_measured_F
tt,0.00,80.00,1.0000,80.00,0.4200,0.1000,0.0100,3.375e-03,42.183,16362.573,4.849,8.437e-01,2.965e+00,2.604e-12,6.510e-13,1.074e-11,1.074e-11
tt,0.00,80.00,1.0000,80.00,0.4200,0.1100,0.0100,1.939e-06,0.024,30.654,15.812,4.847e-04,5.929e+00,4.879e-15,1.220e-15,5.368e-12,5.368e-12
tt,0.00,80.00,1.0000,80.00,0.4200,0.1200,0.0100,1.658e-06,0.021,27.850,16.798,4.145e-04,4.302e+04,4.432e-15,1.108e-15,7.399e-16,7.399e-16
tt,0.00,80.00,1.0000,80.00,0.4200,0.1300,0.0100,1.474e-06,0.018,27.733,18.817,3.685e-04,6.250e+04,4.414e-15,1.103e-15,5.093e-16,5.093e-16
tt,0.00,80.00,1.0000,80.00,0.4200,0.1400,0.0100,1.338e-06,0.017,28.724,21.468,3.345e-04,8.027e+04,4.572e-15,1.143e-15,3.966e-16,3.966e-16
tt,0.00,80.00,1.0000,80.00,0.4200,0.1500,0.0100,1.225e-06,0.015,28.957,23.645,3.062e-04,9.590e+04,4.609e-15,1.152e-15,3.319e-16,3.319e-16
tt,0.00,80.00,1.0000,80.00,0.4200,0.1600,0.0100,1.129e-06,0.014,25.731,22.783,2.823e-04,1.179e+05,4.095e-15,1.024e-15,2.701e-16,2.701e-16
tt,0.00,80.00,1.0000,80.00,0.4200,0.1700,0.0100,1.055e-06,0.013,21.067,19.969,2.637e-04,1.881e+05,3.353e-15,8.382e-16,1.692e-16,1.692e-16
tt,0.00,80.00,1.0000,80.00,0.4200,0.1800,0.0100,1.023e-06,0.013,17.338,16.947,2.558e-04,4.500e+05,2.759e-15,6.899e-16,7.074e-17,7.074e-17
tt,0.00,80.00,1.0000,80.00,0.4200,0.1900,0.0100,1.011e-06,0.013,15.367,15.207,2.526e-04,4.082e+06,2.446e-15,6.114e-16,7.797e-18,7.797e-18
