corner,gain_db,gbw_mhz,pm_deg,vout_v,status
Sch_Gt_Ktt_Tt_Vt      ,1.292146e+02 dB,    8.37 MHz,5.914400e+01 deg,1.767317e+00 V,PASS
Sch_Gt_Ktt_Tt_Vl      ,1.286054e+02 dB,    7.75 MHz,6.115880e+01 deg,8.498240e-01 V,PASS
Sch_Gt_Ktt_Tt_Vh      ,1.295784e+02 dB,    8.70 MHz,5.833130e+01 deg,9.497339e-01 V,PASS
Sch_Gt_Ktt_Tl_Vt      ,1.216239e+02 dB,   10.51 MHz,6.938300e+01 deg,8.998802e-01 V,PASS
Sch_Gt_Ktt_Tl_Vl      ,1.214407e+02 dB,    9.37 MHz,7.203180e+01 deg,8.499240e-01 V,PASS
Sch_Gt_Ktt_Tl_Vh      ,1.215390e+02 dB,   11.14 MHz,6.818630e+01 deg,       V,PASS
Sch_Gt_Ktt_Th_Vt      ,9.003678e+01 dB,    6.17 MHz,4.937690e+01 deg,8.996350e-01 V,MARG
Sch_Gt_Ktt_Th_Vl      ,8.982373e+01 dB,    5.85 MHz,5.091950e+01 deg,8.496790e-01 V,FAIL
Sch_Gt_Ktt_Th_Vh      ,9.015216e+01 dB,    6.34 MHz,4.870890e+01 deg,9.495890e-01 V,MARG
Sch_Gt_Kff_Tt_Vt      ,1.063445e+02 dB,    8.95 MHz,4.662520e+01 deg,8.996926e-01 V,MARG
Sch_Gt_Kff_Tt_Vl      ,1.061172e+02 dB,    8.49 MHz,4.849200e+01 deg,8.497380e-01 V,MARG
Sch_Gt_Kff_Tt_Vh      ,8.343889e+01 dB,    3.06 MHz,5.837170e+01 deg,9.496460e-01 V,FAIL
Sch_Gt_Kff_Tl_Vt      ,1.251259e+02 dB,   11.97 MHz,5.453730e+01 deg,8.997913e-01 V,PASS
Sch_Gt_Kff_Tl_Vl      ,7.593329e+01 dB,    1.31 MHz,1.728230e+01 deg,8.498365e-01 V,FAIL
Sch_Gt_Kff_Tl_Vh      ,1.249954e+02 dB,   12.73 MHz,5.220350e+01 deg,1.876889e+00 V,PASS
Sch_Gt_Kff_Th_Vt      ,8.135148e+01 dB,    5.51 MHz,4.575740e+01 deg,9.940462e-01 V,FAIL
Sch_Gt_Kff_Th_Vl      ,8.118688e+01 dB,    5.35 MHz,4.663810e+01 deg,8.495976e-01 V,FAIL
Sch_Gt_Kff_Th_Vh      ,8.146069e+01 dB,    5.61 MHz,4.538360e+01 deg,9.495057e-01 V,FAIL
Sch_Gt_Kss_Tt_Vt      ,1.203670e+02 dB,    7.69 MHz,6.699620e+01 deg,1.761567e+00 V,PASS
Sch_Gt_Kss_Tt_Vl      ,1.199883e+02 dB,    6.91 MHz,6.913750e+01 deg,8.499085e-01 V,PASS
Sch_Gt_Kss_Tt_Vh      ,1.204366e+02 dB,    8.11 MHz,6.603070e+01 deg,1.864706e+00 V,PASS
Sch_Gt_Kss_Tl_Vt      ,1.206290e+02 dB,    9.53 MHz,7.763920e+01 deg,       V,PASS
Sch_Gt_Kss_Tl_Vl      ,1.202191e+02 dB,    8.17 MHz,8.000613e+01 deg,1.159525e+00 V,PASS
Sch_Gt_Kss_Tl_Vh      ,1.206252e+02 dB,   10.27 MHz,7.650060e+01 deg,9.499223e-01 V,PASS
Sch_Gt_Kss_Th_Vt      ,1.005250e+02 dB,    6.17 MHz,5.657340e+01 deg,8.997189e-01 V,PASS
Sch_Gt_Kss_Th_Vl      ,1.000692e+02 dB,    5.69 MHz,5.858320e+01 deg,8.497611e-01 V,PASS
Sch_Gt_Kss_Th_Vh      ,1.007333e+02 dB,    6.45 MHz,5.546540e+01 deg,9.496739e-01 V,PASS
Sch_Gt_Ksf_Tt_Vt      ,1.203548e+02 dB,    8.75 MHz,6.726510e+01 deg,8.999081e-01 V,PASS
Sch_Gt_Ksf_Tt_Vl      ,1.204905e+02 dB,    8.37 MHz,6.788730e+01 deg,8.499540e-01 V,PASS
Sch_Gt_Ksf_Tt_Vh      ,1.202009e+02 dB,    8.99 MHz,6.706520e+01 deg,       V,PASS
Sch_Gt_Ksf_Tl_Vt      ,1.216919e+02 dB,   11.18 MHz,7.799950e+01 deg,9.000100e-01 V,PASS
Sch_Gt_Ksf_Tl_Vl      ,1.219875e+02 dB,   10.45 MHz,7.887800e+01 deg,1.656302e+00 V,PASS
Sch_Gt_Ksf_Tl_Vh      ,1.214060e+02 dB,   11.66 MHz,7.760060e+01 deg,9.499631e-01 V,PASS
Sch_Gt_Ksf_Th_Vt      ,1.093685e+02 dB,    7.07 MHz,5.693600e+01 deg,8.997601e-01 V,PASS
Sch_Gt_Ksf_Th_Vl      ,1.091483e+02 dB,    6.83 MHz,5.762720e+01 deg,8.498060e-01 V,PASS
Sch_Gt_Ksf_Th_Vh      ,1.094492e+02 dB,    7.22 MHz,5.667620e+01 deg,9.497133e-01 V,PASS
Sch_Gt_Kfs_Tt_Vt      ,9.742423e+01 dB,    7.36 MHz,4.876010e+01 deg,8.996493e-01 V,MARG
Sch_Gt_Kfs_Tt_Vl      ,9.685724e+01 dB,    6.52 MHz,5.280080e+01 deg,8.496900e-01 V,MARG
Sch_Gt_Kfs_Tt_Vh      ,9.768270e+01 dB,    7.81 MHz,4.666640e+01 deg,       V,MARG
Sch_Gt_Kfs_Tl_Vt      ,1.296375e+02 dB,    9.63 MHz,5.853540e+01 deg,1.304416e+00 V,PASS
Sch_Gt_Kfs_Tl_Vl      ,1.286278e+02 dB,    7.93 MHz,6.444050e+01 deg,8.497873e-01 V,PASS
Sch_Gt_Kfs_Tl_Vh      ,1.301429e+02 dB,   10.66 MHz,5.488560e+01 deg,       V,PASS
Sch_Gt_Kfs_Th_Vt      ,7.640831e+01 dB,    4.39 MHz,5.148680e+01 deg,8.995120e-01 V,FAIL
Sch_Gt_Kfs_Th_Vl      ,7.602849e+01 dB,    4.09 MHz,5.355810e+01 deg,8.495529e-01 V,FAIL
Sch_Gt_Kfs_Th_Vh      ,7.660668e+01 dB,    4.56 MHz,5.036600e+01 deg,9.494679e-01 V,FAIL

================ SUMMARY ================
PASS = 36 / 45
FAIL = 9 / 45
