corner,Vos_V,Gain_dB,f3dB_Hz,GBW_MHz,PM_deg
SchGtKffThVh,0.9499,81.78,1074.8,12.73,62.58
SchGtKffThVl,0.8498,80.42,1218.9,12.33,63.33
SchGtKffTlVh,0.9499,74.98,3424.6,18.38,65.24
SchGtKffTlVl,0.8497,79.77,1937.7,18.17,66.80
SchGtKfsThVh,0.9499,78.55,1501.2,12.26,63.88
SchGtKfsThVl,0.8497,73.70,2435.9,11.39,65.32
SchGtKfsTlVh,0.9499,72.07,4671.7,17.78,65.72
SchGtKfsTlVl,0.8497,81.86,1452.3,17.27,67.66
SchGtKsfThVh,0.9499,78.47,1559.2,12.58,60.41
SchGtKsfThVl,0.8497,75.30,2163.2,12.12,61.44
SchGtKsfTlVh,0.9498,81.29,1669.2,18.64,64.16
SchGtKsfTlVl,0.8491,67.98,7153.8,17.21,65.56
SchGtKssThVh,0.8427,-21.73,55527750.0,,
SchGtKssThVl,0.8497,78.31,1467.8,11.62,63.21
SchGtKssTlVh,0.9498,82.91,1381.9,18.56,64.65
SchGtKssTlVl,0.8494,75.06,3146.0,17.00,65.78
SchGtKttTtVt,0.8998,82.02,1283.5,15.55,63.77
