iter,vos_V,dvos_mV
0,0.898689,-1.311
1,0.897052,-2.948
2,0.897832,-2.168
3,0.899151,-0.849
4,0.896299,-3.701
5,0.901500,1.500
6,0.900898,0.898
7,0.899494,-0.506
8,0.897319,-2.681
9,0.903654,3.654
10,0.899703,-0.297
11,0.904899,4.899
12,0.900275,0.275
13,0.898967,-1.033
14,0.898889,-1.111
15,0.894101,-5.899
16,0.901115,1.115
17,0.901283,1.283
18,0.901293,1.293
19,0.899457,-0.543
20,0.899900,-0.100
21,0.644283,-255.717
22,0.902776,2.776
23,0.898880,-1.120
24,0.903298,3.298
25,0.897837,-2.163
26,0.520922,-379.078
27,0.897901,-2.099
28,0.899002,-0.998
29,0.900496,0.496
